18歲以下,19~25歲,26~35歲,36~50歲,51歲以上
12c7f9,a71e1a,6c0734,f42bcf,595360
120,120,30,120,120
680,30,120,30,120
30,30,120,120,120
240,120,30,120,150
30,30,120,120,30
30,120,60,30,200
30,60,200,200,120
30,120,30,60,200
120,30,120,120,120
120,30,180,240,60
120,120,200,30,10
30,30,120,30,30
150,30,120,150,120
120,30,120,30,30
30,30,60,60,120
120,30,120,30,30
120,120,120,240,30
60,30,30,30,120
120,30,120,120,30
120,120,90,120,120
120,60,60,120,120
30,120,210,60,120
30,30,120,30,60
30,60,150,120,60
60,120,60,120,120
120,30,60,30,60
120,150,120,120,120
120,120,150,30,120
60,150,30,120,180
30,120,30,30,30
120,120,200,90,90
60,120,60,240,30
30,120,30,120,30
120,120,230,200,30
30,120,60,120,60
30,200,60,30,240
120,120,30,30,30
60,120,180,240,120
200,60,120,120,30
30,30,60,60,60
120,120,230,30,120
30,30,120,60,30
30,120,60,60,120
150,30,60,120,120
120,90,180,30,120
120,90,60,60,120
30,60,60,120,90
60,60,210,30,30
30,150,60,120,30
120,270,60,30,30
120,30,120,120,210
120,120,120,120,30
60,120,120,120,30
60,30,120,30,150
30,120,30,60,75
120,30,120,200,120
30,60,60,120,60
60,120,120,60,120
270,120,120,120,30
120,30,60,30,60
120,120,60,120,60
120,120,60,30,360
30,60,90,120,120
30,60,150,60,120
120,120,60,150,120
120,120,120,30,30
120,120,120,120,120
30,120,200,30,120
120,120,60,120,30
30,30,180,30,30
120,120,120,30,120
150,120,120,30,120
150,240,30,230,30
320,30,30,120,30
120,120,60,60,120
120,200,120,120,120
120,30,30,60,30
120,60,320,120,120
30,120,30,120,30
240,120,30,120,120
120,30,30,120,120
60,30,120,120,30
120,240,120,120,30
240,240,90,120,30
60,120,30,30,30
30,120,60,120,30
120,60,120,60,30
30,60,120,60,30
270,150,950,120,120
30,60,30,30,120
120,30,120,120,120
30,120,120,90,240
60,240,120,120,30
30,120,120,120,120
120,30,90,120,120
60,240,30,30,120
150,60,120,30,60
120,120,120,30,200
30,30,90,120,30
60,120,60,60,30
30,30,30,240,30
30,30,120,120,120
120,120,120,120,200
120,30,30,60,120
30,60,120,60,120
60,120,30,120,240
120,30,120,120,30
120,200,120,120,30
30,120,30,120,120
50,330,60,120,30
30,30,120,120,60
120,30,30,60,30
150,120,60,120,120
30,120,30,120,120
120,120,120,30,60
120,240,60,120,30
90,30,60,60,120
30,30,120,120,240
120,120,120,30,30
120,120,60,30,120
30,30,30,30,200
30,120,60,30,120
120,240,120,30,120
120,120,150,120,30
60,30,60,60,30
30,30,120,60,90
120,30,30,120,120
30,120,30,30,60
30,120,120,30,320
30,120,150,120,120
30,120,120,240,120
230,10,60,30,120
30,120,30,30,60
30,120,30,30,120
120,60,120,150,230
30,120,120,120,670
150,30,30,120,30
60,30,120,120,60
120,120,60,120,60
60,120,60,30,30
120,120,60,120,120
120,120,30,200,30
210,120,30,90,30
120,30,200,60,200
90,30,150,200,120
120,120,30,120,30
120,360,120,30,60
30,180,120,270,30
120,60,30,120,30
120,120,120,120,30
120,120,60,30,150
90,60,60,30,30
30,30,60,30,120
120,30,30,120,60
30,120,30,60,240
120,60,30,30,120
30,60,120,120,120
60,30,120,120,30
120,150,120,150,200
180,30,150,120,30
120,180,120,120,120
30,120,120,120,120
120,120,60,30,120
30,120,120,60,60
120,30,60,120,30
120,150,120,120,30
120,120,30,120,120
30,30,30,90,120
120,210,30,120,180
30,30,150,30,120
30,150,120,120,60
120,120,60,240,120
30,30,120,120,120
120,30,30,30,30
30,30,60,60,120
120,60,30,120,510
30,30,150,240,200
120,120,30,30,120
180,120,120,120,120
120,120,120,120,
120,120,120,30,
120,120,30,30,
30,120,120,30,
30,60,230,30,
30,30,30,60,
120,120,30,120,
30,600,150,120,
120,60,150,120,
30,30,120,230,
30,120,120,30,
120,120,120,120,
120,180,120,120,
30,120,60,120,
120,30,120,60,
60,30,60,120,
280,120,120,200,
60,120,120,150,
120,120,120,30,
120,60,120,120,
120,150,60,120,
120,30,120,30,
30,120,120,120,
120,120,120,150,
30,120,120,120,
120,30,60,30,
240,120,120,120,
120,120,60,120,
120,120,120,30,
120,120,120,30,
30,120,60,30,
120,30,90,120,
30,60,120,200,
120,120,30,120,
120,30,30,120,
120,150,60,120,
150,30,30,120,
30,120,120,120,
30,240,60,120,
30,120,60,120,
30,30,30,150,
120,60,30,120,
120,120,30,120,
120,200,30,150,
120,180,120,120,
90,150,120,60,
120,120,120,120,
60,180,60,120,
30,60,30,290,
120,120,60,120,
150,30,120,120,
60,60,30,120,
120,120,120,280,
30,60,120,150,
120,30,60,120,
120,30,30,120,
120,30,120,120,
30,120,30,60,
90,120,120,30,
30,30,120,120,
120,150,120,120,
120,120,30,120,
120,30,60,120,
30,60,120,120,
120,180,150,120,
120,120,60,120,
120,120,350,120,
90,120,120,150,
150,60,60,120,
120,180,350,60,
30,150,30,120,
120,120,60,60,
120,180,60,30,
30,120,120,30,
150,120,120,60,
30,180,120,120,
120,120,60,60,
120,120,200,120,
120,120,30,30,
60,150,120,30,
30,200,60,30,
200,30,60,240,
120,120,30,60,
120,200,30,150,
120,120,180,120,
120,60,30,30,
150,200,30,120,
120,60,120,120,
30,120,30,180,
30,60,60,30,
120,60,120,120,
200,120,120,30,
120,60,120,120,
120,120,350,120,
120,120,180,150,
120,30,60,120,
30,240,120,120,
120,120,120,30,
200,120,30,120,
60,60,30,150,
120,320,120,120,
30,150,30,120,
120,60,60,120,
30,120,30,120,
60,30,120,120,
120,60,30,120,
120,30,240,30,
30,120,30,30,
30,120,30,150,
120,120,60,120,
60,60,120,30,
120,120,120,120,
30,60,120,60,
30,120,150,120,
30,120,120,120,
120,120,150,120,
200,30,120,120,
30,240,120,120,
120,240,120,30,
120,120,120,120,
120,120,120,30,
30,90,60,60,
120,120,30,120,
120,90,120,60,
120,60,30,200,
120,30,120,120,
30,60,120,30,
120,30,120,60,
120,120,120,120,
130,30,30,120,
150,120,120,120,
30,60,120,30,
30,120,30,120,
120,120,30,120,
120,120,150,30,
120,60,60,30,
30,60,30,120,
30,150,390,120,
120,180,120,120,
120,30,30,120,
60,30,30,120,
150,90,120,60,
30,120,30,120,
120,120,120,30,
120,120,30,120,
120,150,30,120,
120,30,60,120,
30,150,60,60,
30,120,30,30,
30,30,30,120,
60,30,120,30,
30,120,120,120,
30,30,120,200,
60,120,120,200,
120,120,30,240,
150,120,120,30,
90,30,60,120,
130,60,60,120,
120,30,30,120,
30,150,120,60,
120,30,30,120,
150,240,120,30,
120,120,30,120,
200,120,230,30,
120,150,30,120,
120,120,60,120,
30,90,30,120,
60,30,30,30,
120,60,30,120,
120,120,120,120,
150,120,30,120,
30,120,60,30,
30,120,30,30,
150,660,60,120,
30,120,120,30,
30,30,30,30,
60,60,60,30,
30,60,30,120,
30,120,120,120,
120,120,120,60,
