"EUR, x; GBP, x; JPY, x","EUR, y","GBP, y","Contributions, x","Contributions, y","JPY, y"
380c83,ca3bc6,619531,111b16,9d8d03,a25b5b
2017-09-06,18163.56,16606.78,2017-09-06,2380000.0,2359822
2017-09-07,18355.28,16777.47,2017-09-07,2380000.0,2392440
2017-09-08,18174.08,16587.09,2017-09-08,2380000.0,2353545
2017-09-11,18293.81,16606.08,2017-09-11,2380000.0,2385142
2017-09-12,18335.99,16479.99,2017-09-12,2380000.0,2400721
2017-09-13,18166.6,16394.19,2017-09-13,2380000.0,2394185
2017-09-14,18189.78,16211.13,2017-09-14,2380000.0,2392857
2017-09-15,18092.15,15929.02,2017-09-15,2380000.0,2404816
2017-09-18,18152.03,16019.79,2017-09-18,2380000.0,2415857
2017-09-19,18080.55,16023.27,2017-09-19,2380000.0,2412670
2017-09-22,17991.72,15860.57,2017-09-22,2380000.0,2411080
2017-09-26,18015.26,15812.9,2017-09-26,2460000.0,2377844
2017-09-28,18476.47,16191.83,2017-09-28,2460000.0,2449226
2017-09-29,18515.38,16326.44,2017-09-29,2460000.0,2459208
2017-10-03,18804.32,16696.89,2017-10-03,2460000.0,2496656
2017-10-04,18835.45,16719.84,2017-10-04,2460000.0,2495125
2017-10-06,18928.12,16947.36,2017-10-06,2460000.0,2502858
2017-10-12,18956.48,17105.5,2017-10-12,2460000.0,2523492
2017-10-13,19063.53,16962.87,2017-10-13,2460000.0,2525740
2017-10-16,19221.13,17059.35,2017-10-16,2460000.0,2537008
2017-10-17,19200.92,17117.23,2017-10-17,2460000.0,2533370
2017-10-18,19209.48,17150.79,2017-10-18,2460000.0,2547575
2017-10-19,18934.31,17005.98,2017-10-19,2460000.0,2521682
2017-10-20,19001.59,17029.91,2017-10-20,2460000.0,2541474
2017-10-23,19042.12,16964.57,2017-10-23,2540000.0,2543833
2017-10-24,19283.5,17220.7,2017-10-24,2540000.0,2583014
2017-10-27,19879.57,17620.0,2017-10-31,2540000.0,2634451
2017-10-31,18914.69,16616.96,2017-11-01,2540000.0,2496725
2017-11-01,19151.1,16735.09,2017-11-02,2540000.0,2539429
2017-11-02,19041.95,16888.1,2017-11-03,2540000.0,2530659
2017-11-03,19022.32,16915.19,2017-11-06,2540000.0,2526540
2017-11-06,19115.9,16896.35,2017-11-09,2540000.0,2528826
2017-11-09,19017.08,16855.58,2017-11-14,2540000.0,2505511
2017-11-14,18590.15,16654.17,2017-11-15,2540000.0,2477893
2017-11-15,18293.79,16448.15,2017-11-16,2540000.0,2441320
2017-11-16,18558.17,16550.67,2017-11-17,2540000.0,2470469
2017-11-17,18669.33,16687.59,2017-11-20,2540000.0,2479656
2017-11-20,18759.28,16684.61,2017-11-24,2540000.0,2478108
2017-11-24,19893.13,17727.76,2017-11-27,2540000.0,2630237
2017-11-27,19654.13,17562.17,2017-11-28,2540000.0,2607027
2017-11-28,19753.43,17681.77,2017-11-29,2540000.0,2611762
2017-11-29,19689.84,17391.57,2017-11-30,2540000.0,2603354
2017-11-30,19499.75,17166.54,2017-12-04,2540000.0,2593776
2017-12-04,19505.52,17123.45,2017-12-05,2540000.0,2609942
2017-12-05,19442.81,17153.24,2017-12-06,2540000.0,2591578
2017-12-06,19341.55,17091.91,2017-12-07,2540000.0,2562448
2017-12-07,19465.66,17151.93,2017-12-08,2540000.0,2585542
2017-12-08,19642.25,17206.23,2017-12-11,2540000.0,2616119
2017-12-11,19711.35,17402.54,2017-12-12,2540000.0,2632807
2017-12-12,19731.58,17386.28,2017-12-13,2540000.0,2633267
2017-12-13,19652.98,17286.48,2017-12-14,2540000.0,2612482
2017-12-14,19494.03,17194.63,2017-12-15,2540000.0,2598772
2017-12-15,19617.19,17320.0,2017-12-18,2540000.0,2597667
2017-12-18,19704.02,17388.18,2017-12-19,2540000.0,2613086
2017-12-19,19638.95,17385.25,2017-12-20,2540000.0,2615115
2017-12-20,19605.02,17321.76,2017-12-21,2540000.0,2627921
2017-12-21,19636.81,17432.57,2017-12-22,2540000.0,2640210
2017-12-22,19727.4,17476.58,2017-12-28,2540000.0,2648297
2017-12-28,19740.91,17525.91,2017-12-29,2540000.0,2657048
2017-12-29,19685.48,17468.21,2018-01-03,2540000.0,2654620
2018-01-03,19985.49,17718.59,2018-01-04,2540000.0,2694361
2018-01-04,20218.45,18014.1,2018-01-05,2540000.0,2744101
2018-01-05,20351.15,18089.97,2018-01-08,2540000.0,2772421
2018-01-08,20457.11,18092.55,2018-01-10,2540000.0,2765243
2018-01-10,20249.41,17958.45,2018-01-10,2540000.0,2703966
