"Documents uploaded to Elastic Cloud, x; Documents uploaded to G Datastore, x","Documents uploaded to Elastic Cloud, y","Documents uploaded to Elastic Cloud, color","Documents uploaded to G Datastore, y","Documents uploaded to G Datastore, color"
1e8c1d,3e83b4,51de4a,b73740,e37bd5
bloomberg,212,"rgba(179,226,205,1)",212,"rgba(253,205,172,1)"
la_razon,94,"rgba(179,226,205,1)",94,"rgba(253,205,172,1)"
new_york_times,330,"rgba(179,226,205,1)",330,"rgba(253,205,172,1)"
excelsior,702,"rgba(179,226,205,1)",702,"rgba(253,205,172,1)"
the_guardian,173,"rgba(179,226,205,1)",173,"rgba(253,205,172,1)"
reuters,3798,"rgba(179,226,205,1)",4923,"rgba(253,205,172,1)"
SDP,397,"rgba(179,226,205,1)",397,"rgba(253,205,172,1)"
ap,2,"rgba(179,226,205,1)",2,"rgba(253,205,172,1)"
publimetro,523,"rgba(179,226,205,1)",532,"rgba(253,205,172,1)"
le_monde,348,"rgba(179,226,205,1)",348,"rgba(253,205,172,1)"
sopitas,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
el_economista,400,"rgba(179,226,205,1)",403,"rgba(253,205,172,1)"
reforma,255,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
el_universal,1104,"rgba(179,226,205,1)",1870,"rgba(253,205,172,1)"
animal_politico,46,"rgba(179,226,205,1)",46,"rgba(253,205,172,1)"
la_jornada,236,"rgba(179,226,205,1)",236,"rgba(253,205,172,1)"
el_tiempo,163,"rgba(179,226,205,1)",163,"rgba(253,205,172,1)"
notimex,0,"rgba(179,226,205,1)",0,"rgba(253,205,172,1)"
aristegui,63,"rgba(179,226,205,1)",63,"rgba(253,205,172,1)"
the_washington_post,245,"rgba(179,226,205,1)",245,"rgba(253,205,172,1)"
el_financiero,195,"rgba(179,226,205,1)",195,"rgba(253,205,172,1)"
el_pais,422,"rgba(179,226,205,1)",422,"rgba(253,205,172,1)"
milenio,489,"rgba(179,226,205,1)",489,"rgba(253,205,172,1)"
